==== y_000001_1 ====
Dłoń 1 (Right):
  Punkt 0: x=0.692, y=0.455, z=-0.000
  Punkt 1: x=0.633, y=0.420, z=-0.069
  Punkt 2: x=0.553, y=0.427, z=-0.088
  Punkt 3: x=0.496, y=0.485, z=-0.098
  Punkt 4: x=0.465, y=0.537, z=-0.101
  Punkt 5: x=0.458, y=0.411, z=-0.031
  Punkt 6: x=0.371, y=0.418, z=-0.048
  Punkt 7: x=0.310, y=0.426, z=-0.057
  Punkt 8: x=0.263, y=0.434, z=-0.062
  Punkt 9: x=0.471, y=0.466, z=-0.011
  Punkt 10: x=0.423, y=0.496, z=-0.048
  Punkt 11: x=0.491, y=0.491, z=-0.062
  Punkt 12: x=0.530, y=0.475, z=-0.057
  Punkt 13: x=0.494, y=0.510, z=-0.000
  Punkt 14: x=0.464, y=0.538, z=-0.042
  Punkt 15: x=0.524, y=0.511, z=-0.060
  Punkt 16: x=0.554, y=0.487, z=-0.056
  Punkt 17: x=0.520, y=0.547, z=0.006
  Punkt 18: x=0.452, y=0.577, z=-0.019
  Punkt 19: x=0.413, y=0.596, z=-0.031
  Punkt 20: x=0.372, y=0.611, z=-0.034
  Wektory:
    3→4: (-0.031, 0.053, -0.003)
    0→5: (-0.234, -0.044, -0.031)
    17→18: (-0.068, 0.031, -0.025)
    0→17: (-0.172, 0.092, 0.006)
    13→14: (-0.031, 0.028, -0.042)
    13→17: (0.025, 0.037, 0.006)
    18→19: (-0.039, 0.019, -0.012)
    5→6: (-0.087, 0.007, -0.017)
    5→9: (0.013, 0.055, 0.020)
    14→15: (0.060, -0.027, -0.017)
    0→1: (-0.059, -0.035, -0.069)
    9→10: (-0.049, 0.030, -0.036)
    1→2: (-0.080, 0.007, -0.019)
    9→13: (0.023, 0.044, 0.011)
    10→11: (0.068, -0.005, -0.014)
    19→20: (-0.041, 0.015, -0.003)
    6→7: (-0.061, 0.009, -0.009)
    15→16: (0.031, -0.023, 0.004)
    2→3: (-0.057, 0.058, -0.010)
    11→12: (0.040, -0.016, 0.005)
    7→8: (-0.047, 0.007, -0.005)

==== y_000001_1_flipped ====
Dłoń 1 (Left (flipped)):
  Punkt 0: x=0.301, y=0.447, z=-0.000
  Punkt 1: x=0.365, y=0.424, z=-0.062
  Punkt 2: x=0.439, y=0.428, z=-0.082
  Punkt 3: x=0.499, y=0.483, z=-0.095
  Punkt 4: x=0.533, y=0.538, z=-0.104
  Punkt 5: x=0.533, y=0.410, z=-0.025
  Punkt 6: x=0.632, y=0.417, z=-0.046
  Punkt 7: x=0.692, y=0.424, z=-0.062
  Punkt 8: x=0.743, y=0.434, z=-0.071
  Punkt 9: x=0.517, y=0.463, z=-0.005
  Punkt 10: x=0.579, y=0.504, z=-0.057
  Punkt 11: x=0.515, y=0.496, z=-0.086
  Punkt 12: x=0.468, y=0.484, z=-0.088
  Punkt 13: x=0.497, y=0.508, z=0.008
  Punkt 14: x=0.520, y=0.539, z=-0.044
  Punkt 15: x=0.460, y=0.516, z=-0.062
  Punkt 16: x=0.422, y=0.491, z=-0.052
  Punkt 17: x=0.475, y=0.540, z=0.019
  Punkt 18: x=0.544, y=0.572, z=-0.005
  Punkt 19: x=0.585, y=0.593, z=-0.012
  Punkt 20: x=0.626, y=0.606, z=-0.006
  Wektory:
    3→4: (0.034, 0.055, -0.009)
    0→5: (0.233, -0.037, -0.025)
    17→18: (0.069, 0.032, -0.024)
    0→17: (0.174, 0.092, 0.019)
    13→14: (0.024, 0.032, -0.053)
    13→17: (-0.022, 0.032, 0.010)
    18→19: (0.041, 0.021, -0.006)
    5→6: (0.099, 0.007, -0.022)
    5→9: (-0.016, 0.053, 0.019)
    14→15: (-0.060, -0.023, -0.018)
    0→1: (0.064, -0.023, -0.062)
    9→10: (0.062, 0.041, -0.051)
    1→2: (0.074, 0.004, -0.020)
    9→13: (-0.021, 0.045, 0.014)
    10→11: (-0.064, -0.008, -0.030)
    19→20: (0.041, 0.012, 0.005)
    6→7: (0.060, 0.007, -0.016)
    15→16: (-0.038, -0.025, 0.010)
    2→3: (0.059, 0.055, -0.013)
    11→12: (-0.047, -0.012, -0.001)
    7→8: (0.051, 0.011, -0.009)

==== y_000002_1 ====
Dłoń 1 (Right):
  Punkt 0: x=0.713, y=0.455, z=-0.000
  Punkt 1: x=0.639, y=0.399, z=-0.056
  Punkt 2: x=0.538, y=0.377, z=-0.064
  Punkt 3: x=0.455, y=0.420, z=-0.065
  Punkt 4: x=0.427, y=0.482, z=-0.062
  Punkt 5: x=0.442, y=0.369, z=-0.008
  Punkt 6: x=0.337, y=0.378, z=-0.021
  Punkt 7: x=0.269, y=0.388, z=-0.029
  Punkt 8: x=0.211, y=0.396, z=-0.033
  Punkt 9: x=0.457, y=0.427, z=0.005
  Punkt 10: x=0.415, y=0.456, z=-0.038
  Punkt 11: x=0.496, y=0.453, z=-0.061
